cod_parlamentario,name,deputy_photo,hemiciclo_image,facebook,instagram,twitter,website,url
76,María del Mar Vázquez Jiménez,True,True,,,https://twitter.com/DelMar74602,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=76&idLegislatura=XV&mostrarAgenda=false
77,Jordi Salvador i Duch,True,True,https://www.facebook.com/jordisalvadorduch,,https://twitter.com/jsalvadorduch,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=77&idLegislatura=XV&mostrarAgenda=false
78,Juan Antonio Valero Morales,True,True,https://www.facebook.com/ToniValeroMorales/,https://www.instagram.com/tonivalero_,https://twitter.com/Toni_Valero,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=78&idLegislatura=XV&mostrarAgenda=false
79,Amador Marqués Atés,True,True,,,https://twitter.com/amrqs,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=79&idLegislatura=XV&mostrarAgenda=false
80,Montse Mínguez García,True,True,,,https://twitter.com/montseminguez,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=80&idLegislatura=XV&mostrarAgenda=false
81,Inés Plaza García,True,True,https://www.facebook.com/plazagarciaines,https://www.instagram.com/inesplazapsoe/,https://twitter.com/inesplazapsoe,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=81&idLegislatura=XV&mostrarAgenda=false
82,María Mercedes Fernández González,True,True,,,https://twitter.com/cherines_pp,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=82&idLegislatura=XV&mostrarAgenda=false
83,Raquel Sánchez Jiménez,True,False,,,,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=83&idLegislatura=XV&mostrarAgenda=false
84,Cristóbal Garre Murcia,True,True,https://www.facebook.com/cristobal.garremurcia,https://www.instagram.com/garreasesores/,https://twitter.com/crisgarre,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=84&idLegislatura=XV&mostrarAgenda=false
85,Mario Cortés Carballo,True,True,,,https://twitter.com/mariocortesc,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=85&idLegislatura=XV&mostrarAgenda=false
